match_id,season,grade,round_type,round,full_round,match_date,home_team_id,away_team_id,home_goals,away_goals,status
,2022,reserve_grade,regular,14,Round 14,2022-08-13 03:00:00,Eastwood St Andrews FC,Normanhurst Eagles FC,1,1,complete
,2022,reserve_grade,regular,14,Round 14,2022-08-13 03:00:00,North Epping Rangers FC,Ryde Saints United FC,0,5,complete
,2022,reserve_grade,regular,14,Round 14,2022-08-13 03:00:00,West Pennant Hills Cherrybrook FC,Macquarie Dragons FC,6,1,complete
,2022,reserve_grade,regular,14,Round 14,2022-08-13 03:00:00,Hills Hawks FC,West Ryde Rovers FC,0,3,complete
,2022,first_grade,regular,14,Round 14,2022-08-13 05:00:00,Eastwood St Andrews FC,Normanhurst Eagles FC,1,2,complete
,2022,first_grade,regular,14,Round 14,2022-08-13 05:00:00,North Epping Rangers FC,Ryde Saints United FC,0,4,complete
,2022,first_grade,regular,14,Round 14,2022-08-13 05:00:00,West Pennant Hills Cherrybrook FC,Macquarie Dragons FC,2,2,complete
,2022,first_grade,regular,14,Round 14,2022-08-13 05:00:00,Hills Hawks FC,West Ryde Rovers FC,4,2,complete
,2022,reserve_grade,regular,14,Round 14,2022-08-13 07:00:00,Pennant Hills FC,Epping Eastwood FC,1,4,complete
,2022,first_grade,regular,14,Round 14,2022-08-13 09:00:00,Pennant Hills FC,Epping Eastwood FC,2,1,complete
,2022,first_grade,regular,15,Round 15,2022-07-09 03:00:00,West Ryde Rovers FC,West Pennant Hills Cherrybrook FC,2,0,complete
,2022,first_grade,regular,15,Round 15,2022-07-09 05:00:00,Epping Eastwood FC,Normanhurst Eagles FC,1,0,complete
,2022,first_grade,regular,15,Round 15,2022-07-09 05:00:00,Pennant Hills FC,North Epping Rangers FC,3,1,complete
,2022,first_grade,regular,15,Round 15,2022-07-09 05:00:00,Macquarie Dragons FC,Eastwood St Andrews FC,1,2,complete
,2022,first_grade,regular,15,Round 15,2022-07-09 08:00:00,Ryde Saints United FC,Hills Hawks FC,0,4,complete
,2022,reserve_grade,regular,16,Round 16,2022-07-16 03:00:00,North Epping Rangers FC,Epping Eastwood FC,1,2,complete
,2022,reserve_grade,regular,16,Round 16,2022-07-16 03:00:00,Normanhurst Eagles FC,Macquarie Dragons FC,1,2,complete
,2022,reserve_grade,regular,16,Round 16,2022-07-16 03:00:00,Hills Hawks FC,Pennant Hills FC,3,3,complete
,2022,reserve_grade,regular,16,Round 16,2022-07-16 03:00:00,Eastwood St Andrews FC,West Ryde Rovers FC,5,0,complete
,2022,reserve_grade,regular,16,Round 16,2022-07-16 03:00:00,West Pennant Hills Cherrybrook FC,Ryde Saints United FC,11,0,complete
,2022,first_grade,regular,16,Round 16,2022-07-16 05:00:00,North Epping Rangers FC,Epping Eastwood FC,0,3,complete
,2022,first_grade,regular,16,Round 16,2022-07-16 05:00:00,Normanhurst Eagles FC,Macquarie Dragons FC,1,3,complete
,2022,first_grade,regular,16,Round 16,2022-07-16 05:00:00,Hills Hawks FC,Pennant Hills FC,1,3,complete
,2022,first_grade,regular,16,Round 16,2022-07-16 05:00:00,Eastwood St Andrews FC,West Ryde Rovers FC,1,0,complete
,2022,first_grade,regular,16,Round 16,2022-07-16 05:00:00,West Pennant Hills Cherrybrook FC,Ryde Saints United FC,5,1,complete
,2022,first_grade,regular,17,Round 17,2022-07-23 05:00:00,West Ryde Rovers FC,Normanhurst Eagles FC,0,4,complete
,2022,first_grade,regular,17,Round 17,2022-07-23 05:00:00,Pennant Hills FC,West Pennant Hills Cherrybrook FC,1,3,complete
,2022,first_grade,regular,17,Round 17,2022-07-23 05:00:00,Ryde Saints United FC,Eastwood St Andrews FC,8,3,complete
,2022,first_grade,regular,17,Round 17,2022-07-23 07:00:00,Epping Eastwood FC,Macquarie Dragons FC,4,1,complete
,2022,first_grade,regular,17,Round 17,2022-07-23 07:00:00,North Epping Rangers FC,Hills Hawks FC,0,1,complete
,2022,reserve_grade,regular,18,Round 18,2022-07-30 03:00:00,Hills Hawks FC,Epping Eastwood FC,0,4,complete
,2022,reserve_grade,regular,18,Round 18,2022-07-30 03:00:00,Macquarie Dragons FC,West Ryde Rovers FC,1,0,complete
,2022,reserve_grade,regular,18,Round 18,2022-07-30 03:00:00,West Pennant Hills Cherrybrook FC,North Epping Rangers FC,7,0,complete
,2022,reserve_grade,regular,18,Round 18,2022-07-30 03:00:00,Normanhurst Eagles FC,Ryde Saints United FC,3,0,complete
,2022,reserve_grade,regular,18,Round 18,2022-07-30 03:00:00,Eastwood St Andrews FC,Pennant Hills FC,4,1,complete
,2022,first_grade,regular,18,Round 18,2022-07-30 05:00:00,Hills Hawks FC,Epping Eastwood FC,3,1,complete
,2022,first_grade,regular,18,Round 18,2022-07-30 05:00:00,Macquarie Dragons FC,West Ryde Rovers FC,0,3,complete
,2022,first_grade,regular,18,Round 18,2022-07-30 05:00:00,West Pennant Hills Cherrybrook FC,North Epping Rangers FC,6,1,complete
,2022,first_grade,regular,18,Round 18,2022-07-30 05:00:00,Normanhurst Eagles FC,Ryde Saints United FC,4,0,complete
,2022,first_grade,regular,18,Round 18,2022-07-30 05:00:00,Eastwood St Andrews FC,Pennant Hills FC,3,0,complete
,2022,reserve_grade,finals,101,Finals 1#1,2022-08-20 07:00:00,West Pennant Hills Cherrybrook FC,West Ryde Rovers FC,2,1,complete
,2022,first_grade,finals,101,Finals 1#1,2022-08-20 09:15:00,West Pennant Hills Cherrybrook FC,Normanhurst Eagles FC,3,1,complete
,2022,reserve_grade,finals,102,Finals 1#2,2022-08-20 07:00:00,Epping Eastwood FC,Macquarie Dragons FC,3,2,complete
,2022,first_grade,finals,102,Finals 1#2,2022-08-20 09:15:00,West Ryde Rovers FC,Eastwood St Andrews FC,1,4,complete
,2022,reserve_grade,finals,103,Finals 2#3,2022-08-27 07:00:00,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,2,3,complete
,2022,first_grade,finals,103,Finals 2#3,2022-08-27 09:30:00,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,3,1,complete
,2023,reserve_grade,regular,1,Round 1,2023-04-01 02:00:00,West Ryde Rovers FC,Epping Eastwood FC,3,4,complete
,2023,reserve_grade,regular,1,Round 1,2023-04-01 02:00:00,West Pennant Hills Cherrybrook FC,Hills Hawks FC,2,1,complete
,2023,reserve_grade,regular,1,Round 1,2023-04-01 02:00:00,Macquarie Dragons FC,Ryde Saints United FC,2,3,complete
,2023,reserve_grade,regular,1,Round 1,2023-04-01 02:00:00,Normanhurst Eagles FC,St Patrick's FC,3,3,complete
,2023,reserve_grade,regular,1,Round 1,2023-04-01 02:00:00,Pennant Hills FC,Eastwood St Andrews FC,4,0,complete
