K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,brier,logloss,n
25,30,50,0.5,0.6003875053272727,1.0287359489764267,187
15,0,65,0.5,0.6004699501454545,1.009260201679361,187
20,0,75,0.3,0.6005008907657753,1.0051514468412914,187
15,30,50,0.3,0.6006037348582889,1.0159806025523157,187
30,30,50,0.7,0.6006064617529413,1.0337287702661417,187
20,40,50,0.3,0.6009147197534757,1.0202661932957666,187
30,40,50,0.5,0.6011481897368985,1.0342786150247592,187
25,0,75,0.3,0.6011963465513366,1.0071484141033806,187
20,0,65,0.5,0.6012490364978609,1.0120454108123473,187
25,20,50,0.7,0.6012839934577536,1.0324703239574309,187
30,10,65,0.3,0.6013470120983958,1.0128069027998643,187
30,0,65,0.7,0.6013645503379673,1.0206737744148258,187
20,20,50,0.5,0.6014493978417114,1.026159221570724,187
20,30,50,0.3,0.6017677940866308,1.0211484913785775,187
30,0,75,0.3,0.6020809209064171,1.0096124119585383,187
30,30,50,0.5,0.6021667482823531,1.0342633335412796,187
25,40,50,0.3,0.6022563394090908,1.0263505426309303,187
25,0,65,0.5,0.6023115503144386,1.015617367958633,187
15,10,50,0.7,0.6023898458598932,1.031532930521981,187
25,20,50,0.5,0.6031017007331549,1.0330826372546353,187
15,20,50,0.3,0.6032017222278074,1.0201421200296572,187
25,30,50,0.3,0.6032635806026738,1.0276428520522431,187
30,20,50,0.7,0.6033813237149731,1.0373891029253348,187
30,0,65,0.5,0.6035957128385029,1.0199928584006384,187
15,0,65,0.3,0.6035978920176475,1.0115683843387422,187
20,10,50,0.7,0.6038608369294117,1.0353649441703663,187
30,40,50,0.3,0.6038678890786097,1.0337811988989032,187
20,0,65,0.3,0.6043964008197861,1.014179441727649,187
15,10,50,0.5,0.6044766300684495,1.02799293350989,187
20,20,50,0.3,0.6045058876390375,1.0256809526432518,187
30,20,50,0.5,0.6050037552973263,1.0377871664785794,187
30,30,50,0.3,0.6050132680090909,1.0357615621783738,187
25,0,65,0.3,0.6054426310914442,1.0174671824983463,187
25,10,50,0.7,0.6057507687556152,1.039590376547858,187
20,10,50,0.5,0.6059107488406422,1.035203135262348,187
25,20,50,0.3,0.6061216503090908,1.0327407109965243,187
30,0,65,0.3,0.6066925336042781,1.021440996323317,187
25,10,50,0.5,0.6076394223197863,1.0400367852485337,187
15,10,50,0.3,0.6076556833262033,1.0277797951949104,187
30,10,50,0.7,0.6079431675267377,1.0446604534952655,187
30,20,50,0.3,0.6079563203010694,1.040441331777682,187
15,0,50,0.7,0.6084753005941177,1.0426112949389652,187
20,10,50,0.3,0.6090816013502673,1.0338484453888737,187
30,10,50,0.5,0.6096545806561496,1.0449384798485442,187
20,0,50,0.7,0.610059942134224,1.0460024381795257,187
15,0,50,0.5,0.6107004132791441,1.0400129362978285,187
25,10,50,0.3,0.6108141229401073,1.0417651614252745,187
25,0,50,0.7,0.6120353078272728,1.0503596961360118,187
20,0,50,0.5,0.6122185416524057,1.0463501708396554,187
30,10,50,0.3,0.6127144259304813,1.0474239065123359,187
15,0,50,0.3,0.6140002014133685,1.0391108374607236,187
25,0,50,0.5,0.6140369935545456,1.0506002569564703,187
30,0,50,0.7,0.61428990563369,1.0555571045588779,187
20,0,50,0.3,0.6155275389518717,1.045857536847841,187
30,0,50,0.5,0.6161256166973262,1.055640263824146,187
25,0,50,0.3,0.6173153677598929,1.0530276660448892,187
30,0,50,0.3,0.6192986731,1.0580576769595942,187
