K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,MOV_C1,MOV_C2,USE_ADJ_RATES,brier
30,50,75,0.7,0.001,1.5,True,0.5786529101240644
20,40,100,0.8,0.002,1.5,False,0.5786534761625667
25,50,75,0.7,0.0005,1.5,True,0.5786567740791443
30,40,100,0.8,0.0005,2.2,False,0.5786577541438506
25,40,75,0.7,0.002,3.0,False,0.5786590952614975
20,40,100,0.8,0.0005,1.5,False,0.5786623632823527
25,40,75,0.8,0.0005,1.5,True,0.5786640459443853
20,30,75,0.8,0.0005,3.0,True,0.5786697491946525
20,40,75,0.7,0.0005,1.5,False,0.5786710103203208
20,30,75,0.8,0.002,1.5,False,0.5786723116582887
20,30,75,0.8,0.001,3.0,True,0.5786739689438503
25,50,125,0.8,0.002,1.5,True,0.5786758020165776
25,40,100,0.8,0.0005,1.5,True,0.5786773362470585
25,50,75,0.5,0.0005,3.0,True,0.5786832895342247
30,50,125,0.8,0.001,1.5,False,0.5786844056850269
25,50,75,0.5,0.001,3.0,True,0.5786848094818182
20,30,75,0.8,0.002,3.0,True,0.5786860241245989
25,50,125,0.8,0.001,1.5,True,0.5786888135155083
30,50,100,0.7,0.002,2.2,False,0.5786888919064171
30,40,100,0.8,0.001,2.2,False,0.5786918295208558
25,50,75,0.5,0.002,3.0,True,0.5786922779818181
25,50,75,0.5,0.002,2.2,True,0.5786976589171123
30,40,75,0.8,0.001,1.5,True,0.5787003807406416
25,50,125,0.8,0.0005,1.5,True,0.5787033984855613
30,50,75,0.5,0.0005,2.2,True,0.5787071874909088
30,30,75,0.7,0.002,3.0,True,0.5787389283951874
30,30,75,0.7,0.001,3.0,True,0.5787423561064172
20,40,100,0.8,0.002,1.5,True,0.578742671958289
30,30,75,0.7,0.0005,3.0,True,0.5787453780689836
30,50,125,0.8,0.002,1.5,False,0.5787604296074865
30,40,100,0.8,0.002,2.2,False,0.5787638714240643
25,50,75,0.5,0.001,2.2,True,0.5787777821620321
25,50,100,0.7,0.0005,3.0,True,0.5787941414278074
30,40,100,0.8,0.0005,3.0,True,0.5788003257021389
25,50,100,0.7,0.001,3.0,True,0.578817551917647
30,40,100,0.8,0.001,3.0,True,0.5788214008855616
20,40,100,0.8,0.001,1.5,True,0.5788219808197862
25,50,75,0.5,0.0005,2.2,True,0.5788254816839576
25,30,75,0.8,0.001,1.5,False,0.5788329532331552
30,40,100,0.8,0.002,3.0,True,0.5788642786491981
25,50,100,0.7,0.002,3.0,True,0.5788668228283421
30,40,100,0.7,0.002,1.5,False,0.5788706355834223
20,40,100,0.8,0.0005,1.5,True,0.5788794390909092
25,30,75,0.8,0.0005,3.0,False,0.5788949698967915
30,50,75,0.7,0.0005,1.5,True,0.5788993041411765
30,50,125,0.8,0.0005,2.2,True,0.5789113537962568
30,40,100,0.7,0.001,1.5,False,0.5789153773898393
25,30,75,0.8,0.001,3.0,False,0.5789158378545451
20,50,100,0.8,0.0005,2.2,False,0.5789260593668447
20,40,100,0.8,0.0005,2.2,True,0.5789276252203205
30,50,125,0.8,0.001,2.2,True,0.5789369978497327
20,30,75,0.8,0.001,1.5,False,0.5789371661743314
20,40,100,0.8,0.001,2.2,True,0.5789384185112296
