match_id,season,round,home_team_id,away_team_id,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,predicted_xg_home,predicted_xg_away,actual_home_goals,actual_away_goals,actual_outcome
,2023,9,Eastwood St Andrews FC,St Patrick's FC,1383.84,1483.14,0.26034,0.158,0.58166,2.34,3.347,3,2,1
,2023,10,Epping Eastwood FC,West Ryde Rovers FC,1547.46,1558.09,0.45392,0.175,0.37108,2.832,2.584,3,2,1
,2023,10,Hills Hawks FC,West Pennant Hills Cherrybrook FC,1486.63,1706.22,0.12247,0.11751,0.76002,1.688,3.84,1,3,-1
,2023,10,Ryde Saints United FC,Macquarie Dragons FC,1419.18,1521.83,0.30493,0.17906,0.51601,2.154,2.763,0,2,-1
,2023,10,St Patrick's FC,Normanhurst Eagles FC,1467.21,1550.69,0.29091,0.17436,0.53473,2.17,2.885,1,1,0
,2023,10,Eastwood St Andrews FC,Pennant Hills FC,1399.77,1443.98,0.31472,0.16871,0.51657,2.456,3.071,3,2,1
,2023,11,Epping Eastwood FC,West Pennant Hills Cherrybrook FC,1559.43,1713.28,0.19273,0.14397,0.6633,2.023,3.527,0,3,-1
,2023,11,West Ryde Rovers FC,Ryde Saints United FC,1546.12,1407.55,0.66741,0.14891,0.18368,3.295,1.805,3,1,1
,2023,11,St Patrick's FC,Hills Hawks FC,1468.82,1479.57,0.43608,0.17631,0.38761,2.76,2.615,0,3,-1
,2023,11,Macquarie Dragons FC,Eastwood St Andrews FC,1533.46,1413.16,0.71334,0.13153,0.15514,3.676,1.849,0,1,-1
,2023,11,Pennant Hills FC,Normanhurst Eagles FC,1430.59,1549.07,0.26871,0.17397,0.55732,2.031,2.869,0,0,0
,2023,12,Ryde Saints United FC,Epping Eastwood FC,1400.86,1548.17,0.25297,0.16541,0.58162,2.098,3.084,0,1,-1
,2023,12,West Pennant Hills Cherrybrook FC,St Patrick's FC,1724.54,1450.29,0.89701,0.06403,0.03896,4.338,1.026,2,0,1
,2023,12,Eastwood St Andrews FC,West Ryde Rovers FC,1429.83,1552.81,0.24096,0.15458,0.60446,2.257,3.402,1,3,-1
,2023,12,Hills Hawks FC,Pennant Hills FC,1498.11,1433.27,0.55477,0.16956,0.27567,3.007,2.175,5,0,1
